Mouser Part Number,Mfr Part Number,Mfr Name,Description,Quantity,Customer Part Number
926LM2596T5.0/NOPB,C1608X5R1E105M080AC,ITO-220,LM2596 5v,1,"U1,"
652RLB0914330KL,RLB0914-330KL,Bourns,INDUCTOR 33µH Neosid MA-Bs75,1,"L1,"
